Ano,Dia,Velocidade do vento (m/s),Ponto de orvalho (°C),Temperatura mín.  (°C),Irradiância solar (W/m²),Umidade relativa (%),Velocidade máx. do vento (m/s),Velocidade mín. do vento (m/s),Pressão atmosférica (kPa),Time lag
2024,13,1.59,20.27,20.95,407.76,71.62,2.69,0.77,94.23,1.18
2024,14,1.64,20.12,21.39,418.23,71.25,03.05,0.72,94.42,1.45
2024,15,1.37,19.62,21.33,404.86,66.25,2.5,0.48,94.47,1.77
2024,16,1.45,20.1,22.79,394.8,67.88,2.95,0.09,94.38,1.52
2024,17,1.31,19.96,22.22,398.72,66.44,2.92,0.43,94.36,1.39
2024,18,0.97,19.08,22.55,393.73,60.81,1.57,0.65,94.3,1.53
2024,19,1.17,19.4,22.56,399.81,61.19,1.83,0.66,94.3,1.59
2024,20,1.29,18.37,22.25,417.04,56.31,2.26,0.89,94.18,1.64
2024,21,1.59,19.8,22.15,433.35,62.94,2.37,01.02,94.25,1.37
2024,22,1.48,21.22,22.62,433.9,71.38,2.49,0.63,94.31,1.45
2024,23,1.12,21.94,22.83,435.05,79.06,2.38,0.34,94.25,1.31
2024,24,1.92,21.45,22.36,426.55,76.56,3.87,0.65,94.08,0.97
2024,25,2.28,21.65,23.03,443.41,78.94,3.92,01.03,94.06,1.17
2024,26,2.33,22.15,21.33,427.1,86.44,4.0,0.54,94.16,1.29
2024,27,1.55,21.8,21.5,425.18,85.38,2.6,0.51,94.28,1.59
2024,28,1.66,21.57,21.0,412.59,85.69,2.8,0.63,94.47,1.48
2024,29,1.63,20.65,20.91,412.36,79.44,3.22,0.52,94.53,1.12
2024,30,1.44,21.25,20.39,413.41,81.19,2.74,0.67,94.42,1.92
2024,31,1.43,21.75,22.25,398.64,79.0,03.02,0.45,94.36,2.28
2024,32,1.42,21.43,21.75,406.08,78.81,2.71,0.45,94.38,2.33
2024,33,1.84,19.44,20.72,389.38,71.69,3.47,0.36,94.4,1.55
2024,34,1.98,18.85,20.58,401.62,71.19,04.02,0.71,94.43,1.66
2024,35,1.98,18.55,19.64,393.9,69.5,3.9,0.77,94.39,1.63
2024,36,02.02,19.57,20.54,389.8,70.0,3.77,0.83,94.37,1.44
2024,37,1.7,20.08,21.51,401.88,67.69,03.04,0.45,94.44,1.43
2024,38,1.34,19.88,22.01,412.37,65.62,2.64,0.64,94.34,1.42
2024,39,1.35,18.97,22.94,424.09,61.38,2.7,0.5,94.22,1.84
2024,40,01.02,20.99,21.83,417.64,76.56,1.71,0.55,94.28,1.98
2024,41,1.99,21.31,21.44,407.95,86.94,04.02,0.07,94.41,1.98
2024,42,1.88,20.16,20.43,404.09,82.31,3.7,0.67,94.6,02.02
2024,43,2.75,19.06,20.35,397.07,73.88,5.32,0.88,94.52,1.7
2024,44,2.36,19.22,19.18,378.18,72.19,4.45,0.97,94.51,1.34
2024,45,1.48,19.17,20.05,383.05,65.94,03.05,0.74,94.5,1.35
2024,46,1.19,18.44,20.58,395.28,60.0,2.81,0.37,94.43,01.02
2024,47,0.99,19.06,21.05,407.88,60.5,2.38,0.47,94.37,1.99
2024,48,1.15,22.0,22.78,425.51,79.06,2.28,0.38,94.3,1.88
2024,49,1.15,21.19,21.48,432.93,78.0,1.98,0.37,94.27,2.75
2024,50,0.94,22.03,21.85,416.54,81.81,1.91,0.33,94.19,2.36
2024,51,1.54,22.37,21.65,419.47,87.0,2.89,0.48,94.1,1.48
2024,52,1.48,22.05,21.47,415.06,88.88,2.8,0.32,94.11,1.19
2024,53,1.23,21.37,21.43,411.27,87.94,2.3,0.39,94.26,0.99
2024,54,1.49,21.39,20.61,411.26,88.0,3.2,0.31,94.43,1.15
